iter	Passed	Remaining
0	136	13516
1	138	6804
2	140	4552
3	142	3430
4	145	2766
5	147	2310
6	149	1987
7	151	1746
8	154	1560
9	156	1412
10	160	1296
11	163	1197
12	165	1108
13	167	1028
14	169	963
15	171	902
16	174	849
17	176	805
18	179	764
19	182	729
20	183	690
21	186	660
22	188	632
23	191	606
24	192	576
25	194	554
26	195	529
27	197	506
28	199	487
29	200	468
30	203	452
31	205	437
32	207	421
33	209	406
34	210	391
35	212	378
36	214	364
37	215	352
38	217	340
39	219	329
40	220	317
41	221	305
42	222	295
43	224	286
44	226	276
45	227	267
46	229	258
47	230	249
48	231	241
49	233	233
50	234	225
51	235	217
52	236	209
53	237	202
54	238	194
55	239	187
56	240	181
57	241	174
58	242	168
59	243	162
60	244	156
61	244	150
62	245	144
63	246	138
64	247	133
65	248	127
66	248	122
67	249	117
68	250	112
69	250	107
70	251	102
71	252	98
72	253	93
73	253	89
74	254	84
75	255	80
76	256	76
77	256	72
78	257	68
79	258	64
80	258	60
81	259	56
82	260	53
83	260	49
84	261	46
85	262	42
86	263	39
87	263	35
88	264	32
89	265	29
90	265	26
91	266	23
92	267	20
93	268	17
94	268	14
95	269	11
96	270	8
97	270	5
98	271	2
99	272	0
