iter	Passed	Remaining
0	0	867
1	1	794
2	2	774
3	3	747
4	3	736
5	4	727
6	5	728
7	5	720
8	6	743
9	8	813
10	9	816
11	9	815
12	10	809
13	11	799
14	12	791
15	12	780
16	13	774
17	14	766
18	14	762
19	15	757
20	16	753
21	16	749
22	17	747
23	18	746
24	19	742
25	19	737
26	20	736
27	21	735
28	22	742
29	22	741
30	23	743
31	24	744
32	25	744
33	26	742
34	26	739
35	27	737
36	28	733
37	28	731
38	29	728
39	30	726
40	30	723
41	31	720
42	32	717
43	32	714
44	33	711
45	34	708
46	34	705
47	35	703
48	36	701
49	37	705
50	37	706
51	38	703
52	39	701
53	39	700
54	40	697
55	41	695
56	41	693
57	42	693
58	43	691
59	44	690
60	44	687
61	45	686
62	46	685
63	46	684
64	47	682
65	48	681
66	48	680
67	49	679
68	50	677
69	50	676
70	51	677
71	52	677
72	53	677
73	54	677
74	54	675
75	55	675
76	56	673
77	56	671
78	57	670
79	58	668
80	58	667
81	59	666
82	59	661
83	60	660
84	61	659
85	61	658
86	62	656
87	63	655
88	63	654
89	64	653
90	65	652
91	66	658
92	67	662
93	68	662
94	69	661
95	70	660
96	71	662
97	71	661
98	72	660
99	73	661
100	74	660
101	74	659
102	75	658
103	76	657
104	76	655
105	77	653
106	78	652
107	78	651
108	79	650
109	80	650
110	81	651
111	82	656
112	83	656
113	84	656
114	85	656
115	86	657
116	86	656
117	87	656
118	88	655
119	89	654
120	90	654
121	90	652
122	91	652
123	92	650
124	92	649
125	93	648
126	94	647
127	95	647
128	95	646
129	96	645
130	97	647
131	98	647
132	99	646
133	99	645
134	100	644
135	101	644
136	102	642
137	102	641
138	103	641
139	104	640
140	104	639
141	105	636
142	106	635
143	106	634
144	107	633
145	108	632
146	108	631
147	109	630
148	110	629
149	110	628
150	111	627
151	112	627
152	113	626
153	113	625
154	114	624
155	115	623
156	115	622
157	116	621
158	117	620
159	117	619
160	118	617
161	119	616
162	119	615
163	120	613
164	121	612
165	121	611
166	122	610
167	123	610
168	124	609
169	124	608
170	125	607
171	126	606
172	126	605
173	127	605
174	128	605
175	129	604
176	129	603
177	130	602
178	131	601
179	131	600
180	132	600
181	133	599
182	133	598
183	134	597
184	135	596
185	136	595
186	136	594
187	137	593
188	138	592
189	138	591
190	139	591
191	140	590
192	140	589
193	141	588
194	142	587
195	143	587
196	143	586
197	144	585
198	145	584
199	145	583
200	146	583
201	147	582
202	148	581
203	148	580
204	149	579
205	150	578
206	150	578
207	151	577
208	152	576
209	153	575
210	153	575
211	154	574
212	155	573
213	155	572
214	156	571
215	157	571
216	158	570
217	158	569
218	159	568
219	160	567
220	160	566
221	161	565
222	162	565
223	162	564
224	163	563
225	164	562
226	164	561
227	165	561
228	166	561
229	167	560
230	168	559
231	168	559
232	169	558
233	170	557
234	170	556
235	171	555
236	172	554
237	173	554
238	173	553
239	174	552
240	175	551
241	175	551
242	176	550
243	177	549
244	178	548
245	178	547
246	179	546
247	180	546
248	180	545
249	181	544
250	182	544
251	182	543
252	183	542
253	184	542
254	185	541
255	186	540
256	186	540
257	187	540
258	188	539
259	189	539
260	190	538
261	190	537
262	191	537
263	192	537
264	193	536
265	193	535
266	194	534
267	195	533
268	196	533
269	196	532
270	197	531
271	198	530
272	198	529
273	199	528
274	200	527
275	200	527
276	201	526
277	202	525
278	203	525
279	203	524
280	204	523
281	205	522
282	206	521
283	206	521
284	207	520
285	208	519
286	208	518
287	209	518
288	210	517
289	211	516
290	211	515
291	212	514
292	213	514
293	213	513
294	214	512
295	215	511
296	215	510
297	216	509
298	217	509
299	217	508
300	218	507
301	219	506
302	219	505
303	220	505
304	221	504
305	222	503
306	222	503
307	223	502
308	224	501
309	225	500
310	225	500
311	226	499
312	227	498
313	227	497
314	228	496
315	229	496
316	229	495
317	230	494
318	231	493
319	232	493
320	232	492
321	233	492
322	234	491
323	235	490
324	235	490
325	236	489
326	237	488
327	238	488
328	238	487
329	239	486
330	240	485
331	241	484
332	241	484
333	242	483
334	243	482
335	243	481
336	244	480
337	245	480
338	245	479
339	246	478
340	247	477
341	247	477
342	248	476
343	249	475
344	250	475
345	250	474
346	251	473
347	252	472
348	253	472
349	253	471
350	254	470
351	255	469
352	255	468
353	256	468
354	257	467
355	257	466
356	258	465
357	259	464
358	259	463
359	260	462
360	261	462
361	261	461
362	262	460
363	263	459
364	263	459
365	264	458
366	265	458
367	266	457
368	267	456
369	267	456
370	268	455
371	269	454
372	269	453
373	270	453
374	271	452
375	272	451
376	272	450
377	273	449
378	274	449
379	274	448
380	275	447
381	276	446
382	276	445
383	277	444
384	278	444
385	279	443
386	279	443
387	280	442
388	281	441
389	281	441
390	282	440
391	283	439
392	284	439
393	284	438
394	285	437
395	286	436
396	287	436
397	287	435
398	288	434
399	289	433
400	290	433
401	290	432
402	291	431
403	291	430
404	292	430
405	293	430
406	294	429
407	295	428
408	296	428
409	297	427
410	297	426
411	298	425
412	299	425
413	299	424
414	300	423
415	301	422
416	301	421
417	302	420
418	303	420
419	303	419
420	304	418
421	305	417
422	305	417
423	306	416
424	307	415
425	307	414
426	308	414
427	309	413
428	310	413
429	311	412
430	312	412
431	312	411
432	313	410
433	314	409
434	314	408
435	315	408
436	316	407
437	317	406
438	317	406
439	318	405
440	319	404
441	319	403
442	320	402
443	321	402
444	321	401
445	322	400
446	323	400
447	324	399
448	325	398
449	325	398
450	326	397
451	327	396
452	327	395
453	328	394
454	329	394
455	329	393
456	330	392
457	331	391
458	331	391
459	332	390
460	333	389
461	333	388
462	334	387
463	335	387
464	335	386
465	336	385
466	337	384
467	338	384
468	338	383
469	339	382
470	340	382
